,tic,datadate,fyearq,fqtr,actq,lctq,dvpspq,saleq,cshoq,prccq,epsfiq,oancfy,ivncfy,fincfy,lastactq1,lastlctq1,lastdvpspq1,lastsaleq1,lastcshoq1,lastprccq1,lastepsfiq1,lastoancfy1,lastivncfy1,lastfincfy1,lastactual1,meanest,actual
4315,DIS,31/03/2020,2020,1,27776,34797,0,20877,1805,144.63,1.16,1611,-1350,1117,28124,31341,0.88,19118,1802,130.32,0.58,6606,-4118,-1090,1.53,0.88,0.6
4316,DIS,30/06/2020,2020,2,33274,35473,0.88,18025,1806,96.6,0.25,4791,-2408,6616,27776,34797,0,20877,1805,144.63,1.16,1611,-1350,1117,0.6,-0.61,0.08
4317,DIS,30/09/2020,2020,3,41330,30917,0,11779,1807,111.51,-2.61,5951,-3122,14919,33274,35473,0.88,18025,1806,96.6,0.25,4791,-2408,6616,0.08,-0.71,-0.2
4318,DIS,31/12/2020,2020,4,35251,26628,0,14707,1810,124.08,-0.39,7618,-3637,8480,41330,30917,0,11779,1807,111.51,-2.61,5951,-3122,14919,-0.2,-0.44,0.32
4377,DG,31/07/2017,2017,1,3748.949,2692.041,0.26,5609.625,274.225,72.71,1.02,510.462,-143.388,-349.012,3677.771,2622.805,0.25,6009.246,275.212,73.82,1.49,1605.041,-550.936,-1024.137,1.03,1.09,1.1
4378,DG,31/10/2017,2017,2,3979.991,2806.755,0.26,5828.305,273.258,75.16,1.08,786.23,-313.707,-446.265,3748.949,2692.041,0.26,5609.625,274.225,72.71,1.02,510.462,-143.388,-349.012,1.1,0.94,0.98
4379,DG,31/01/2018,2017,3,4153.334,2937.806,0.26,5903.606,271.541,80.84,0.93,1142.88,-487.611,-616.992,3979.991,2806.755,0.26,5828.305,273.258,75.16,1.08,786.23,-313.707,-446.265,0.98,1.47,1.48
4380,DG,30/04/2018,2017,4,4247.852,2964.878,0.26,6129.431,268.733,103.12,2.63,1802.108,-645.028,-1077.554,4153.334,2937.806,0.26,5903.606,271.541,80.84,0.93,1142.88,-487.611,-616.992,1.48,1.4,1.36
4381,DG,31/07/2018,2018,1,4166.036,2525.332,0.29,6114.463,267.553,96.53,1.36,548.648,-163.999,-368.12,4247.852,2964.878,0.26,6129.431,268.733,103.12,2.63,1802.108,-645.028,-1077.554,1.36,1.49,1.52
4382,DG,31/10/2018,2018,2,4517.826,2915.544,0.29,6443.309,265.531,98.15,1.52,1097.289,-369.619,-729.823,4166.036,2525.332,0.29,6114.463,267.553,96.53,1.36,548.648,-163.999,-368.12,1.52,1.26,1.31
4383,DG,31/01/2019,2018,3,4630.344,2982.182,0.29,6417.462,262.882,111.38,1.26,1514.117,-549.081,-971.789,4517.826,2915.544,0.29,6443.309,265.531,98.15,1.52,1097.289,-369.619,-729.823,1.31,1.87,1.84
4384,DG,30/04/2019,2018,4,4663.02,3015.857,0.29,6649.809,259.511,115.43,1.84,2143.55,-731.603,-1443.901,4630.344,2982.182,0.29,6417.462,262.882,111.38,1.26,1514.117,-549.081,-971.789,1.84,1.39,1.48
4385,DG,31/07/2019,2019,1,4583.769,3956.716,0.32,6623.185,258.322,126.09,1.48,574.195,-144.304,-394.267,4663.02,3015.857,0.29,6649.809,259.511,115.43,1.84,2143.55,-731.603,-1443.901,1.48,1.57,1.74
4386,DG,31/10/2019,2019,2,4919.138,4312.27,0.32,6981.753,257.068,134.02,1.65,1130.521,-291.593,-814.847,4583.769,3956.716,0.32,6623.185,258.322,126.09,1.48,574.195,-144.304,-394.267,1.74,1.38,1.42
4387,DG,31/01/2020,2019,3,5068.542,4506.038,0.32,6991.393,254.6,160.34,1.42,1661.11,-516.141,-1104.38,4919.138,4312.27,0.32,6981.753,257.068,134.02,1.65,1130.521,-291.593,-814.847,1.42,2.02,2.1
4388,DG,30/04/2020,2019,4,5177.868,4543.56,0.32,7157.642,251.936,153.41,2.1,2237.998,-782.485,-1450.68,5068.542,4506.038,0.32,6991.393,254.6,160.34,1.42,1661.11,-516.141,-1104.38,2.1,1.7,2.56
4389,DG,31/07/2020,2020,1,6992.483,4843.228,0.36,8448.449,251.722,175.3,2.56,1736.326,-194.968,892.234,5177.868,4543.56,0.32,7157.642,251.936,153.41,2.1,2237.998,-782.485,-1450.68,2.56,2.41,3.12
4390,DG,31/10/2020,2020,2,7597.408,5411.188,0.36,8684.241,249.033,190.4,3.12,2907.335,-423.116,235.065,6992.483,4843.228,0.36,8448.449,251.722,175.3,2.56,1736.326,-194.968,892.234,3.12,1.97,2.31
4391,DG,31/01/2021,2020,3,7533.432,5886.211,0.36,8199.625,245,208.71,2.31,3383.54,-696.011,-728.406,7597.408,5411.188,0.36,8684.241,249.033,190.4,3.12,2907.335,-423.116,235.065,2.31,2.72,2.62
4455,D,30/06/2017,2017,1,4285,7842,0.755,3384,629,77.57,1.01,1360,-1694,559,4248,8115,0.7,3086,628,76.59,0.73,4127,-10703,6230,0.97,0.68,0.67
4456,D,30/09/2017,2017,2,3911,9502,0.755,2813,630,76.63,0.62,2352,-3316,963,4285,7842,0.755,3384,629,77.57,1.01,1360,-1694,559,0.67,1.03,1.04
4457,D,31/12/2017,2017,3,3994,8559,0.755,3179,644,76.93,1.03,3664,-4873,1175,3911,9502,0.755,2813,630,76.63,0.62,2352,-3316,963,1.04,0.9,0.91
4458,D,31/03/2018,2017,4,4334,9636,0.77,3210,645,81.06,2.04,4549,-5993,1303,3994,8559,0.755,3179,644,76.93,1.03,3664,-4873,1175,0.91,1.07,1.14
4459,D,30/06/2018,2018,1,4281,9339,0.835,3681,653,67.43,0.77,1232,-1183,100,4334,9636,0.77,3210,645,81.06,2.04,4549,-5993,1303,1.14,0.82,0.86
4460,D,30/09/2018,2018,2,4610,8918,0.835,3088,654,68.18,0.69,2425,-2236,-20,4281,9339,0.835,3681,653,67.43,0.77,1232,-1183,100,0.86,1.14,1.15
4461,D,31/12/2018,2018,3,5702,9212,0.835,3451,655,70.28,1.3,3711,-3369,-140,4610,8918,0.835,3088,654,68.18,0.69,2425,-2236,-20,1.15,0.93,0.89
4462,D,31/03/2019,2018,4,5161,7647,0.835,3361,681,71.46,0.97,4773,-2358,-2209,5702,9212,0.835,3451,655,70.28,1.3,3711,-3369,-140,0.89,1.15,1.1
4463,D,30/06/2019,2019,1,5975,9776,0.9175,3858,802,76.66,-0.86,1171,-552,-383,5161,7647,0.835,3361,681,71.46,0.97,4773,-2358,-2209,1.1,0.79,0.77
4464,D,30/09/2019,2019,2,5727,9503,0.9175,2866,803,77.32,0.05,2313,-1833,-311,5975,9776,0.9175,3858,802,76.66,-0.86,1171,-552,-383,0.77,1.14,1.18
4465,D,31/12/2019,2019,3,6269,12191,0.9175,3782,823,81.04,1.17,3709,-3160,-500,5727,9503,0.9175,2866,803,77.32,0.05,2313,-1833,-311,1.18,1.14,1.18
4466,D,31/03/2020,2019,4,6088,9939,0.9175,3895,838,82.82,1.21,5204,-4622,-704,6269,12191,0.9175,3782,823,81.04,1.17,3709,-3160,-500,1.18,1.14,1.09
4467,D,30/06/2020,2020,1,6536,10448,0.94,3938,839,72.19,-0.34,1633,-1641,1006,6088,9939,0.9175,3895,838,82.82,1.21,5204,-4622,-704,1.09,0.61,0.82
4468,D,30/09/2020,2020,2,6124,9537,0.94,3106,840,81.18,-1.52,3136,-3334,671,6536,10448,0.94,3938,839,72.19,-0.34,1633,-1641,1006,0.82,0.97,1.08
4469,D,31/12/2020,2020,3,19829,17560,0.94,3607,816,78.93,0.41,4810,-4860,339,6124,9537,0.94,3106,840,81.18,-1.52,3136,-3334,671,1.08,0.76,0.81
4538,DOV,30/06/2017,2017,1,2761.919,2319.203,0.44,1583.21,155.657,80.35,1.09,78.071,81.78,-93.293,2589.191,1940.318,0.44,1777.961,155.428,74.93,1.03,861.975,-1503.843,633.608,1.09,0.99,1.04
4539,DOV,30/09/2017,2017,2,2759.584,2215.346,0.44,1737.371,155.736,80.22,1.04,233.948,30.643,-309.566,2761.919,2319.203,0.44,1583.21,155.657,80.35,1.09,78.071,81.78,-93.293,1.04,1.14,1.16
4540,DOV,31/12/2017,2017,3,2868.771,2167.256,0.47,1747.775,155.786,91.39,1.14,501.965,-24.785,-507.2,2759.584,2215.346,0.44,1737.371,155.736,80.22,1.04,233.948,30.643,-309.566,1.16,1.04,1.84
4541,DOV,31/03/2018,2017,4,3207.12,2298.193,0.47,1752.53,154.823,100.99,1.88,821.559,176.373,-594.739,2868.771,2167.256,0.47,1747.775,155.786,91.39,1.14,501.965,-24.785,-507.2,1.84,1.12,1.16
4542,DOV,30/06/2018,2018,1,2951.999,2080.588,0.47,1637.671,154.673,98.22,0.84,35.195,-136.022,-289.103,3207.12,2298.193,0.47,1752.53,154.823,100.99,1.88,821.559,176.373,-594.739,1.16,1.21,1.3
4543,DOV,30/09/2018,2018,2,2447.728,1813.927,0.47,1798.094,147.706,73.2,0.91,174.74,-174.203,-516.837,2951.999,2080.588,0.47,1637.671,154.673,98.22,0.84,35.195,-136.022,-289.103,1.3,1.29,1.36
4544,DOV,31/12/2018,2018,3,2459.049,1890.305,0.48,1747.403,148.087,88.53,1.05,434.474,-233.83,-749.313,2447.728,1813.927,0.47,1798.094,147.706,73.2,0.91,174.74,-174.203,-516.837,1.36,1.29,1.43
4545,DOV,31/03/2019,2018,4,2503.754,1827.421,0.48,1808.95,144.917,70.95,0.96,798.635,-269.185,-897.838,2459.049,1890.305,0.48,1747.403,148.087,88.53,1.05,434.474,-233.83,-749.313,1.43,1.11,1.24
4546,DOV,30/06/2019,2019,1,2529.466,1946.922,0.48,1724.757,145.308,93.8,0.72,24.524,-217.69,36.067,2503.754,1827.421,0.48,1808.95,144.917,70.95,0.96,798.635,-269.185,-897.838,1.24,1.53,1.56
4547,DOV,30/09/2019,2019,2,2623.251,1955.115,0.48,1810.706,145.409,100.2,1.35,233.233,-287.445,-24.529,2529.466,1946.922,0.48,1724.757,145.308,93.8,0.72,24.524,-217.69,36.067,1.56,1.51,1.6
4548,DOV,31/12/2019,2019,3,2585.992,1825.302,0.49,1825.345,145.258,99.56,1.4,584.098,-336.057,-302.43,2623.251,1955.115,0.48,1810.706,145.409,100.2,1.35,233.233,-287.445,-24.529,1.6,1.45,1.54
4549,DOV,31/03/2020,2019,4,2548.43,1749.891,0.49,1775.589,144.302,115.26,1.15,945.306,-384.255,-558.042,2585.992,1825.302,0.49,1825.345,145.258,99.56,1.4,584.098,-336.057,-302.43,1.54,1.22,1.39
4550,DOV,30/06/2020,2020,1,2706,2094.361,0.49,1655.939,143.947,83.94,1.21,75.863,-230.511,280.954,2548.43,1749.891,0.49,1775.589,144.302,115.26,1.15,945.306,-384.255,-558.042,1.39,0.93,1.13
4551,DOV,30/09/2020,2020,2,2799.445,2113.761,0.49,1499.175,143.97,96.56,0.86,347.672,-298.274,213.496,2706,2094.361,0.49,1655.939,143.947,83.94,1.21,75.863,-230.511,280.954,1.13,1.32,1.6
4552,DOV,31/12/2020,2020,3,2604.984,1766.371,0.495,1748.256,144.095,108.34,1.38,686.919,-362.998,-283.336,2799.445,2113.761,0.49,1499.175,143.97,96.56,0.86,347.672,-298.274,213.496,1.6,1.38,1.55
4622,DD,30/06/2017,2017,1,24640,13193,0.46,13230,1221.703,63.54,0.72,476,-1060,-231,23659,12604,0.46,13020,1211.133,57.22,-0.03,5478,-3479,-3892,1.64,1.29,1.38
4623,DD,30/09/2017,2017,2,25935,13429,0.46,13834,1223.445,63.07,1.07,1815,-1753,-659,24640,13193,0.46,13230,1221.703,63.54,0.72,476,-1060,-231,1.38,0.39,
4624,DD,30/06/2019,2019,1,49248,28580,0.38,5414,2246.314,53.31,0.23,26,-1000,-1032,25935,13429,0.46,13834,1223.445,63.07,1.07,1815,-1753,-659,,0.83,0.97
4625,DD,30/09/2019,2019,2,10623,6457,0.42,5468,747.444,75.07,-0.76,-51,-1657,-10661,49248,28580,0.38,5414,2246.314,53.31,0.23,26,-1000,-1032,0.97,0.95,0.96
4626,DD,31/12/2019,2019,3,10688,6616,0.3,5426,742.679,71.31,0.5,831,-1807,-10897,10623,6457,0.42,5468,747.444,75.07,-0.76,-51,-1657,-10661,0.96,0.96,0.95
4627,DD,31/03/2020,2019,4,9999,8346,0.3,5204,738.565,64.2,0.24,1409,-2313,-11550,10688,6616,0.3,5426,742.679,71.31,0.5,831,-1807,-10897,0.95,0.68,0.84
4628,DD,30/06/2020,2020,1,10392,8545,0.3,3670,733.794,34.1,-0.83,718,-124,-344,9999,8346,0.3,5204,738.565,64.2,0.24,1409,-2313,-11550,0.84,0.58,0.7
4629,DD,30/09/2020,2020,2,11986,8010,0.3,3289,733.82,53.13,-3.37,1520,-348,1050,10392,8545,0.3,3670,733.794,34.1,-0.83,718,-124,-344,0.7,0.75,0.88
4630,DD,31/12/2020,2020,3,12606,6984,0.3,3629,733.845,55.48,-0.11,2794,35,5830,11986,8010,0.3,3289,733.82,53.13,-3.37,1520,-348,1050,0.88,0.78,0.95
4699,OMC,30/06/2017,2017,1,11728.8,13070.1,0.55,3587.4,232.744,86.21,1.02,-195.3,-45.2,-386.6,12722,14010.9,0.55,4241.8,234.7,85.11,1.47,1931.2,-481.6,-977.1,0.97,1.38,1.4
4700,OMC,30/09/2017,2017,2,11505.1,12863.7,0.55,3790.2,230.754,82.9,1.4,-331,-62,-902.7,11728.8,13070.1,0.55,3587.4,232.744,86.21,1.02,-195.3,-45.2,-386.6,1.4,1.1,1.13
4701,OMC,31/12/2017,2017,3,11417.4,12621.2,0.55,3719.5,230.533,74.07,1.13,-156,-77.5,-1121.9,11505.1,12863.7,0.55,3790.2,230.754,82.9,1.4,-331,-62,-902.7,1.13,1.54,1.55
4702,OMC,31/03/2018,2017,4,14116,15108.9,0.55,4176.5,230.1,72.83,1.09,2023.9,-115.4,-1342.6,11417.4,12621.2,0.55,3719.5,230.533,74.07,1.13,-156,-77.5,-1121.9,1.55,1.06,1.14
4703,OMC,30/06/2018,2018,1,12338.5,13598.8,0.6,3629.6,227.29,72.67,1.14,-620.8,-207.5,-426.9,14116,15108.9,0.55,4176.5,230.1,72.83,1.09,2023.9,-115.4,-1342.6,1.14,1.55,1.6
4704,OMC,30/09/2018,2018,2,11230.1,12617.9,0.6,3859.6,224.373,76.27,1.6,-572.9,-293.1,-902.4,12338.5,13598.8,0.6,3629.6,227.29,72.67,1.14,-620.8,-207.5,-426.9,1.6,1.22,1.24
4705,OMC,31/12/2018,2018,3,11575.3,13280.1,0.6,3714.3,224.106,68.02,1.32,-238.6,-132,-1176.6,11230.1,12617.9,0.6,3859.6,224.373,76.27,1.6,-572.9,-293.1,-902.4,1.24,1.67,1.77
4706,OMC,31/03/2019,2018,4,13726.9,15270.2,0.6,4086.7,223.9,73.24,1.77,1722.3,-221.8,-1441.1,11575.3,13280.1,0.6,3714.3,224.106,68.02,1.32,-238.6,-132,-1176.6,1.77,1.09,1.17
4707,OMC,30/06/2019,2019,1,13072.2,14913.1,0.6,3468.9,220.168,72.99,1.17,-395.6,37,132.3,13726.9,15270.2,0.6,4086.7,223.9,73.24,1.77,1722.3,-221.8,-1441.1,1.17,1.61,1.68
4708,OMC,30/09/2019,2019,2,12802.8,15068.1,0.65,3719.8,217.524,81.95,1.68,-492.9,24.7,-296.7,13072.2,14913.1,0.6,3468.9,220.168,72.99,1.17,-395.6,37,132.3,1.68,1.31,1.32
4709,OMC,31/12/2019,2019,3,11600.9,13259.8,0.65,3623.8,217.732,78.3,1.32,-231.9,-5,-932.8,12802.8,15068.1,0.65,3719.8,217.524,81.95,1.68,-492.9,24.7,-296.7,1.32,1.85,1.89
4710,OMC,31/03/2020,2019,4,14584.7,15980.9,0.65,4141.2,217.1,81.02,1.89,1856,-30.9,-1222,11600.9,13259.8,0.65,3623.8,217.732,78.3,1.32,-231.9,-5,-932.8,1.89,1.18,1.2
4711,OMC,30/06/2020,2020,1,11850.1,12857,0.65,3406.9,214.283,54.9,1.19,-987.2,-24.3,-391.2,14584.7,15980.9,0.65,4141.2,217.1,81.02,1.89,1856,-30.9,-1222,1.2,0.9,0.92
4712,OMC,30/09/2020,2020,2,10893.1,11330.9,0.65,2800.7,214.869,54.6,-0.11,-862.2,-29.9,-5.7,11850.1,12857,0.65,3406.9,214.283,54.9,1.19,-987.2,-24.3,-391.2,0.92,1.06,1.21
4713,OMC,31/12/2020,2020,3,11862.4,12163.8,0.65,3206.5,214.973,49.5,1.45,-661.4,-109.1,-187.5,10893.1,11330.9,0.65,2800.7,214.869,54.6,-0.11,-862.2,-29.9,-5.7,1.21,1.63,1.9
4776,DUK,30/06/2017,2017,1,8005,10941,0.855,5729,699.884,82.01,1.02,1289,-2399,1596,8039,11551,0.855,5587,700,77.62,-0.33,6798,-11533,4270,1.04,1.04,1.01
4777,DUK,30/09/2017,2017,2,7673,12466,0.855,5555,699.95,83.59,0.98,2756,-4324,1474,8005,10941,0.855,5729,699.884,82.01,1.02,1289,-2399,1596,1.01,1.56,1.59
4778,DUK,31/12/2017,2017,3,7706,10820,0.89,6482,699.976,83.92,1.36,5011,-6360,1239,7673,12466,0.855,5555,699.95,83.59,0.98,2756,-4324,1474,1.59,0.92,0.94
4779,DUK,31/03/2018,2017,4,8453,12482,0.89,5799,700,84.11,1,6634,-8450,1782,7706,10820,0.89,6482,699.976,83.92,1.36,5011,-6360,1239,0.94,1.13,1.28
4780,DUK,30/06/2018,2018,1,8279,12998,0.89,6135,701,77.47,0.88,1391,-2264,947,8453,12482,0.89,5799,700,84.11,1,6634,-8450,1782,1.28,1.09,0.93
4781,DUK,30/09/2018,2018,2,8476,12791,0.89,5643,712,79.08,0.71,3302,-4645,1265,8279,12998,0.89,6135,701,77.47,0.88,1391,-2264,947,0.93,1.58,1.65
4782,DUK,31/12/2018,2018,3,9520,13922,0.9275,6628,713,80.02,1.51,5667,-7270,1547,8476,12791,0.89,5643,712,79.08,0.71,3302,-4645,1265,1.65,0.9,0.84
4783,DUK,31/03/2019,2018,4,9714,15041,0.9275,6115,727,86.3,0.65,7186,-10060,2960,9520,13922,0.9275,6628,713,80.02,1.51,5667,-7270,1547,0.84,1.22,1.24
4784,DUK,30/06/2019,2019,1,9168,12282,0.9275,6163,728,90,1.24,1239,-2713,1433,9714,15041,0.9275,6115,727,86.3,0.65,7186,-10060,2960,1.24,0.98,1.12
4785,DUK,30/09/2019,2019,2,9509,13447,0.9275,5873,728,88.24,1.12,3056,-5788,2622,9168,12282,0.9275,6163,728,90,1.24,1239,-2713,1433,1.12,1.69,1.79
4786,DUK,31/12/2019,2019,3,9619,13390,0.945,6940,729,95.86,1.82,5637,-8633,2987,9509,13447,0.9275,5873,728,88.24,1.12,3056,-5788,2622,1.79,0.88,0.91
4787,DUK,31/03/2020,2019,4,9163,14752,0.945,6103,733,91.21,0.88,8209,-11957,3730,9619,13390,0.945,6940,729,95.86,1.82,5637,-8633,2987,0.91,1.23,1.14
4788,DUK,30/06/2020,2020,1,10181,15170,0.945,5949,735,80.88,1.24,1554,-3022,2593,9163,14752,0.945,6103,733,91.21,0.88,8209,-11957,3730,1.14,1.02,1.08
4789,DUK,30/09/2020,2020,2,9237,16690,0.945,5421,735,79.89,-1.13,3357,-5471,2182,10181,15170,0.945,5949,735,80.88,1.24,1554,-3022,2593,1.08,1.8,1.87
4790,DUK,31/12/2020,2020,3,8679,16693,0.965,6721,736,88.56,1.74,6766,-7964,1225,9237,16690,0.945,5421,735,79.89,-1.13,3357,-5471,2182,1.87,1.06,1.03
4855,FLS,30/06/2017,2017,1,2251.778,1098.884,0.19,866.318,130.218,48.42,0.14,3.927,-15.495,-38.826,2297.689,1178.438,0.19,1070.934,129.813,48.05,0.46,240.476,-91.469,-143.721,0.25,0.43,0.22
4856,FLS,30/09/2017,2017,2,2415.555,1146.323,0.19,877.063,130.291,46.43,0.32,46.6,154.774,-82.462,2251.778,1098.884,0.19,866.318,130.218,48.42,0.14,3.927,-15.495,-38.826,0.22,0.34,0.37
4857,FLS,31/12/2017,2017,3,2439.01,1148.317,0.19,883.381,130.29,42.59,0.36,72.36,171.132,-136.214,2415.555,1146.323,0.19,877.063,130.291,46.43,0.32,46.6,154.774,-82.462,0.37,0.52,0.5
4858,FLS,31/03/2018,2017,4,2558.745,1242.908,0.19,1034.069,130.322,42.13,-0.81,311.066,176.6,-185.353,2439.01,1148.317,0.19,883.381,130.29,42.59,0.36,72.36,171.132,-136.214,0.5,0.27,0.27
4859,FLS,30/06/2018,2018,1,2411.313,1052.961,0.19,919.954,130.52,43.33,0.12,-120.727,-12.89,-46.855,2558.745,1242.908,0.19,1034.069,130.322,42.13,-0.81,311.066,176.6,-185.353,0.27,0.34,0.41
4860,FLS,30/09/2018,2018,2,2372.991,1052.855,0.19,973.129,130.552,40.4,0.1,-56.737,-30.839,-87.248,2411.313,1052.961,0.19,919.954,130.52,43.33,0.12,-120.727,-12.89,-46.855,0.41,0.43,0.49
4861,FLS,31/12/2018,2018,3,2324.667,1040.08,0.19,952.715,130.553,54.69,0.21,26.338,-49.577,-133.226,2372.991,1052.855,0.19,973.129,130.552,40.4,0.1,-56.737,-30.839,-87.248,0.49,0.58,0.58
4862,FLS,31/03/2019,2018,4,2383.145,1080.975,0.19,986.868,130.556,38.02,0.48,190.831,-81.466,-173.284,2324.667,1040.08,0.19,952.715,130.553,54.69,0.21,26.338,-49.577,-133.226,0.58,0.34,0.41
4863,FLS,30/06/2019,2019,1,2436.623,1121.431,0.19,890.051,130.824,45.14,0.44,38.519,28.573,-43.786,2383.145,1080.975,0.19,986.868,130.556,38.02,0.48,190.831,-81.466,-173.284,0.41,0.51,0.54
4864,FLS,30/09/2019,2019,2,2409.324,1058.871,0.19,985.757,130.85,52.69,0.37,49.35,15.035,-86.828,2436.623,1121.431,0.19,890.051,130.824,45.14,0.44,38.519,28.573,-43.786,0.54,0.56,0.59
4865,FLS,31/12/2019,2019,3,2395.66,1048.196,0.19,995.709,130.74,46.71,0.45,143.991,-3.851,-195.544,2409.324,1058.871,0.19,985.757,130.85,52.69,0.37,49.35,15.035,-86.828,0.59,0.65,0.66
4866,FLS,31/03/2020,2019,4,2505.37,1112.888,0.19,1068.18,130.531,49.77,0.55,312.741,-23.837,-229.654,2395.66,1048.196,0.19,995.709,130.74,46.71,0.45,143.991,-3.851,-195.544,0.66,0.4,0.21
4867,FLS,30/06/2020,2020,1,2425.514,1106.031,0.19,893.513,129.791,23.89,0.09,47.302,-6.573,-63.925,2505.37,1112.888,0.19,1068.18,130.531,49.77,0.55,312.741,-23.837,-229.654,0.21,0.28,0.53
4868,FLS,30/09/2020,2020,2,2430.555,1088.738,0.2,925.013,129.92,28.52,0.05,21.231,-21.161,-91.881,2425.514,1106.031,0.19,893.513,129.791,23.89,0.09,47.302,-6.573,-63.925,0.53,0.44,0.5
4869,FLS,31/12/2020,2020,3,2806.145,1093.582,0.2,924.3,130.018,27.29,0.43,115.629,-34.16,178.972,2430.555,1088.738,0.2,925.013,129.92,28.52,0.05,21.231,-21.161,-91.881,0.5,0.53,0.53
4939,PKI,30/06/2017,2017,1,1116.579,600.608,0.07,514.115,109.859,58.06,0.35,53.736,-114.686,-16.181,1189.931,603.355,0.07,566.77,109.617,52.15,0.59,350.615,-100.843,-115.011,0.55,0.67,0.67
4940,PKI,30/09/2017,2017,2,1433.826,589.388,0.07,546.962,110.196,68.14,1.84,101.853,159.179,-18.767,1116.579,600.608,0.07,514.115,109.859,58.06,0.35,53.736,-114.686,-16.181,0.67,0.72,0.73
4941,PKI,31/12/2017,2017,3,1545.66,597.512,0.07,554.275,110.207,68.97,0.82,160.357,204.522,-34.45,1433.826,589.388,0.07,546.962,110.196,68.14,1.84,101.853,159.179,-18.767,0.73,0.94,0.97
4942,PKI,31/03/2018,2017,4,1199.955,950.902,0.07,641.63,110.361,73.12,-0.37,288.453,-1249.372,782.236,1545.66,597.512,0.07,554.275,110.207,68.97,0.82,160.357,204.522,-34.45,0.97,0.61,0.63
4943,PKI,30/06/2018,2018,1,1234.004,925.984,0.07,643.972,110.62,75.72,0.23,-14.558,-23.667,13.009,1199.955,950.902,0.07,641.63,110.361,73.12,-0.37,288.453,-1249.372,782.236,0.63,0.86,0.91
4944,PKI,30/09/2018,2018,2,1202.413,712.693,0.07,703.362,110.716,73.23,0.57,58.427,-79.92,-12.931,1234.004,925.984,0.07,643.972,110.62,75.72,0.23,-14.558,-23.667,13.009,0.91,0.92,0.9
4945,PKI,31/12/2018,2018,3,1165.495,686.752,0.07,674.313,111.087,97.27,0.69,151.619,-71.901,-121.962,1202.413,712.693,0.07,703.362,110.716,73.23,0.57,58.427,-79.92,-12.931,0.9,1.16,1.18
4946,PKI,31/03/2019,2018,4,1234.634,771.631,0.07,756.349,110.597,78.55,0.64,311.038,-159.859,-179.23,1165.495,686.752,0.07,674.313,111.087,97.27,0.69,151.619,-71.901,-121.962,1.18,0.66,0.69
4947,PKI,30/06/2019,2019,1,1247.646,742.268,0.07,648.737,110.891,96.36,0.32,-5.316,-29.228,5.235,1234.634,771.631,0.07,756.349,110.597,78.55,0.64,311.038,-159.859,-179.23,0.69,1,1
4948,PKI,30/09/2019,2019,2,1337.761,706.799,0.07,722.517,111.071,96.34,0.62,41.543,-286.517,231.194,1247.646,742.268,0.07,648.737,110.891,96.36,0.32,-5.316,-29.228,5.235,1,1.01,1.06
4949,PKI,31/12/2019,2019,3,1548.405,1188.102,0.07,706.923,111.093,85.17,0.52,148.258,-315.539,401.327,1337.761,706.799,0.07,722.517,111.071,96.34,0.62,41.543,-286.517,231.194,1.06,1.33,1.35
4950,PKI,31/03/2020,2019,4,1374.379,762.832,0.07,805.496,111.14,97.1,0.58,363.469,-487.573,150.13,1548.405,1188.102,0.07,706.923,111.093,85.17,0.52,148.258,-315.539,401.327,1.35,0.58,0.67
4951,PKI,30/06/2020,2020,1,1341.826,730.144,0.07,652.396,111.306,75.28,0.3,60.05,-22.014,-24.592,1374.379,762.832,0.07,805.496,111.14,97.1,0.58,363.469,-487.573,150.13,0.67,0.78,1.57
4952,PKI,30/09/2020,2020,2,1531.413,1163.256,0.07,811.718,111.501,98.09,1.23,198.646,-45.575,-120.366,1341.826,730.144,0.07,652.396,111.306,75.28,0.3,60.05,-22.014,-24.592,1.57,1.5,2.09
4953,PKI,31/12/2020,2020,3,1675.821,1244.797,0.07,964.025,111.878,125.51,1.57,410.08,-68.098,-276.305,1531.413,1163.256,0.07,811.718,111.501,98.09,1.23,198.646,-45.575,-120.366,2.09,2.79,3.96
5023,ECL,30/06/2017,2017,1,4307.3,4205.3,0.37,3162.4,290.045,125.34,0.86,425.7,-941.5,395.5,4279.4,3019.4,0.35,3352.1,291.825,117.22,1.24,1939.7,-829.5,-868.2,0.8,1.12,1.13
5024,ECL,30/09/2017,2017,2,4532.1,4318.4,0.37,3460,289.381,132.75,1,859.7,-1150.1,226,4307.3,4205.3,0.37,3162.4,290.045,125.34,0.86,425.7,-941.5,395.5,1.13,1.36,1.37
5025,ECL,31/12/2017,2017,3,4614.5,3756.6,0.37,3564.5,288.914,128.61,1.34,1444.9,-1368.1,-200.5,4532.1,4318.4,0.37,3460,289.381,132.75,1,859.7,-1150.1,226,1.37,1.39,1.39
5026,ECL,31/03/2018,2017,4,4596.4,3431.8,0.37,3649,289.323,134.18,1.92,2091.3,-1673.2,-522.7,4614.5,3756.6,0.37,3564.5,288.914,128.61,1.34,1444.9,-1368.1,-200.5,1.39,0.9,0.91
5027,ECL,30/06/2018,2018,1,4596.8,3982.8,0.41,3470.9,288.52,137.07,0.84,487.2,-255.8,-265,4596.4,3431.8,0.37,3649,289.323,134.18,1.92,2091.3,-1673.2,-522.7,0.91,1.27,1.27
